,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5
0,Cleveland Browns  Browns,3,13,0,0.188,278,432,-154,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,2 - 10 - 0,0.16699999999999998,1 - 3 - 0,3L,1 - 4 - 0
1,Tennessee Titans  Titans,3,13,0,0.188,299,423,-124,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.16699999999999998,1 - 11 - 0,0.083,2 - 2 - 0,4L,1 - 4 - 0
2,Dallas Cowboys  Cowboys,4,12,0,0.25,275,374,-99,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.5,3 - 9 - 0,0.25,1 - 3 - 0,4L,1 - 4 - 0
3,San Diego Chargers  Chargers,4,12,0,0.25,320,398,-78,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.0,3 - 9 - 0,0.25,1 - 3 - 0,2L,1 - 4 - 0
4,Baltimore Ravens  Ravens,5,11,0,0.313,328,401,-73,3 - 5 - 0,2 - 6 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,1L,1 - 4 - 0
5,Jacksonville Jaguars  Jaguars,5,11,0,0.313,376,448,-72,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,0 - 4 - 0,3L,1 - 4 - 0
6,San Francisco 49ers  49ers,5,11,0,0.313,238,387,-149,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,1W,2 - 3 - 0
7,Chicago Bears  Bears,6,10,0,0.375,335,397,-62,1 - 7 - 0,5 - 3 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,3 - 1 - 0,1L,1 - 4 - 0
8,Miami Dolphins  Dolphins,6,10,0,0.375,310,389,-79,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.16699999999999998,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,1W,2 - 3 - 0
9,New York Giants  Giants,6,10,0,0.375,420,442,-22,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,3L,1 - 4 - 0
10,Tampa Bay Buccaneers  Buccaneers,6,10,0,0.375,342,417,-75,3 - 5 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,1 - 3 - 0,4L,1 - 4 - 0
11,Detroit Lions  Lions,7,9,0,0.43799999999999994,358,400,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,3W,3 - 2 - 0
12,New Orleans Saints  Saints,7,9,0,0.43799999999999994,408,476,-68,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,2W,3 - 2 - 0
13,Oakland Raiders  Raiders,7,9,0,0.43799999999999994,359,399,-40,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,0 - 4 - 0,1L,2 - 3 - 0
14,Philadelphia Eagles  Eagles,7,9,0,0.43799999999999994,377,430,-53,3 - 5 - 0,4 - 4 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.33299999999999996,3 - 1 - 0,1W,3 - 2 - 0
15,St. Louis Rams  Rams,7,9,0,0.43799999999999994,280,330,-50,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,1L,3 - 2 - 0
16,Atlanta Falcons  Falcons,8,8,0,0.5,339,345,-6,4 - 4 - 0,4 - 4 - 0,1 - 5 - 0,0.16699999999999998,5 - 7 - 0,0.41700000000000004,3 - 1 - 0,1L,2 - 3 - 0
17,Buffalo Bills  Bills,8,8,0,0.5,379,359,20,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0
18,Indianapolis Colts  Colts,8,8,0,0.5,333,408,-75,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 2 - 0,2W,2 - 3 - 0
19,Houston Texans  xz  Texans  xz,9,7,0,0.563,339,313,26,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,3W,3 - 2 - 0
20,Washington Redskins  xz  Redskins  xz,9,7,0,0.563,388,379,9,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,1 - 3 - 0,4W,4 - 1 - 0
21,Green Bay Packers  xy  Packers  xy,10,6,0,0.625,368,323,45,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,2L,3 - 2 - 0
22,New York Jets  Jets,10,6,0,0.625,387,314,73,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0
23,Pittsburgh Steelers  xy  Steelers  xy,10,6,0,0.625,423,319,104,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0
24,Seattle Seahawks  xy  Seahawks  xy,10,6,0,0.625,423,277,146,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1W,4 - 1 - 0
25,Kansas City Chiefs  xy  Chiefs  xy,11,5,0,0.688,405,287,118,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,1 - 3 - 0,10W,5 - 0 - 0
26,Minnesota Vikings  xz  Vikings  xz,11,5,0,0.688,365,302,63,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,3W,3 - 2 - 0
27,Cincinnati Bengals  xz  Bengals  xz,12,4,0,0.75,419,279,140,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,3 - 1 - 0,1W,3 - 2 - 0
28,Denver Broncos  xz*  Broncos  xz*,12,4,0,0.75,355,296,59,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,2W,3 - 2 - 0
29,New England Patriots  xz  Patriots  xz,12,4,0,0.75,465,315,150,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,2L,2 - 3 - 0
30,Arizona Cardinals  xz  Cardinals  xz,13,3,0,0.813,489,313,176,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,10 - 2 - 0,0.833,3 - 1 - 0,1L,4 - 1 - 0
31,Carolina Panthers  xz*  Panthers  xz*,15,1,0,0.938,500,308,192,8 - 0 - 0,7 - 1 - 0,5 - 1 - 0,0.833,11 - 1 - 0,0.917,4 - 0 - 0,1W,4 - 1 - 0
