,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5
0,Arizona Cardinals  Cardinals,3,13,0,0.188,225,425,-200,1 - 7 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,3 - 9 - 0,0.25,0 - 4 - 0,4L,1 - 4 - 0
1,New York Jets  Jets,4,12,0,0.25,333,441,-108,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,1 - 3 - 0,3L,1 - 4 - 0
2,Oakland Raiders  Raiders,4,12,0,0.25,290,467,-177,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,1 - 3 - 0,1L,2 - 3 - 0
3,San Francisco 49ers  49ers,4,12,0,0.25,342,435,-93,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.16699999999999998,2 - 10 - 0,0.16699999999999998,2 - 2 - 0,2L,2 - 3 - 0
4,Jacksonville Jaguars  Jaguars,5,11,0,0.313,245,316,-71,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.16699999999999998,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,1L,2 - 3 - 0
5,New York Giants  Giants,5,11,0,0.313,369,412,-43,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.16699999999999998,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,3L,2 - 3 - 0
6,Tampa Bay Buccaneers  Buccaneers,5,11,0,0.313,396,464,-68,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,4L,1 - 4 - 0
7,Buffalo Bills  Bills,6,10,0,0.375,269,374,-105,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,1W,2 - 3 - 0
8,Cincinnati Bengals  Bengals,6,10,0,0.375,368,455,-87,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.16699999999999998,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,2L,1 - 4 - 0
9,Denver Broncos  Broncos,6,10,0,0.375,329,349,-20,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,4L,1 - 4 - 0
10,Detroit Lions  Lions,6,10,0,0.375,324,360,-36,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,2 - 2 - 0,1W,2 - 3 - 0
11,Green Bay Packers  Packers,6,9,1,0.406,376,400,-24,5 - 2 - 1,1 - 7 - 0,1 - 4 - 1,0.25,3 - 8 - 1,0.292,3 - 1 - 0,1L,2 - 3 - 0
12,Atlanta Falcons  Falcons,7,9,0,0.43799999999999994,414,423,-9,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,0 - 4 - 0,3W,3 - 2 - 0
13,Carolina Panthers  Panthers,7,9,0,0.43799999999999994,376,382,-6,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,1W,1 - 4 - 0
14,Cleveland Browns  Browns,7,8,1,0.469,359,392,-33,5 - 2 - 1,2 - 6 - 0,3 - 2 - 1,0.583,5 - 6 - 1,0.45799999999999996,2 - 2 - 0,1L,3 - 2 - 0
15,Miami Dolphins  Dolphins,7,9,0,0.43799999999999994,319,433,-114,6 - 2 - 0,1 - 7 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,3L,2 - 3 - 0
16,Washington Redskins  Redskins,7,9,0,0.43799999999999994,281,359,-78,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.33299999999999996,6 - 6 - 0,0.5,1 - 3 - 0,2L,1 - 4 - 0
17,Minnesota Vikings  Vikings,8,7,1,0.531,360,341,19,5 - 3 - 0,3 - 4 - 1,3 - 2 - 1,0.583,6 - 5 - 1,0.542,2 - 2 - 0,1L,2 - 3 - 0
18,Philadelphia Eagles  xy  Eagles  xy,9,7,0,0.563,367,348,19,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,3 - 1 - 0,3W,4 - 1 - 0
19,Pittsburgh Steelers  Steelers,9,6,1,0.594,428,360,68,5 - 3 - 0,4 - 3 - 1,4 - 1 - 1,0.75,6 - 5 - 1,0.542,3 - 1 - 0,1W,2 - 3 - 0
20,Tennessee Titans  Titans,9,7,0,0.563,310,303,7,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,4 - 0 - 0,1L,4 - 1 - 0
21,Baltimore Ravens  xz  Ravens  xz,10,6,0,0.625,389,287,102,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,2 - 2 - 0,3W,4 - 1 - 0
22,Dallas Cowboys  xz  Cowboys  xz,10,6,0,0.625,339,324,15,7 - 1 - 0,3 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,1 - 3 - 0,2W,4 - 1 - 0
23,Indianapolis Colts  xy  Colts  xy,10,6,0,0.625,433,344,89,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0
24,Seattle Seahawks  xy  Seahawks  xy,10,6,0,0.625,428,347,81,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,2 - 2 - 0,2W,4 - 1 - 0
25,Houston Texans  xz  Texans  xz,11,5,0,0.688,402,316,86,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,2 - 2 - 0,1W,3 - 2 - 0
26,New England Patriots  xz  Patriots  xz,11,5,0,0.688,436,325,111,8 - 0 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,2W,3 - 2 - 0
27,Chicago Bears  xz  Bears  xz,12,4,0,0.75,421,283,138,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 2 - 0,4W,4 - 1 - 0
28,Kansas City Chiefs  x*  Chiefs  x*,12,4,0,0.75,565,421,144,7 - 1 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 2 - 0,1W,3 - 2 - 0
29,Los Angeles Chargers  xy  Chargers  xy,12,4,0,0.75,428,329,99,5 - 3 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,3 - 1 - 0,1W,4 - 1 - 0
30,Los Angeles Rams  xz  Rams  xz,13,3,0,0.813,527,384,143,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.0,9 - 3 - 0,0.75,4 - 0 - 0,2W,3 - 2 - 0
31,New Orleans Saints  x*  Saints  x*,13,3,0,0.813,504,353,151,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,4 - 0 - 0,1L,3 - 2 - 0
