_id,year,team,coach,stadium
5f8bd5bc6c2c14af1fbea21c,2015,Buffalo Bills,Rex Ryan,Ralph Wilson Stadium
5f8bd5c66c2c14af1fbea21d,2016,Buffalo Bills,Anthony Lynn,New Era Field
5f8bd5ce6c2c14af1fbea21e,2017,Buffalo Bills,Sean McDermott,Bob Babich
5f8bd5d56c2c14af1fbea21f,2018,Buffalo Bills,Sean McDermott,New Era Field
5f8bd5dd6c2c14af1fbea220,2019,Buffalo Bills,Sean McDermott,Bob Babich
5f8bd5eb6c2c14af1fbea221,2015,New England Patriots,Bill Belichick,Josh Boyer
5f8bd5f26c2c14af1fbea222,2016,New England Patriots,Bill Belichick,Josh Boyer
5f8bd5f96c2c14af1fbea223,2017,New England Patriots,Bill Belichick,Josh Boyer
5f8bd6006c2c14af1fbea224,2018,New England Patriots,Bill Belichick,Gillette Stadium
5f8bd6076c2c14af1fbea225,2019,New England Patriots,Bill Belichick,Gillette Stadium
5f8bd6126c2c14af1fbea226,2015,Miami Dolphins,Joe Philbin,Sun Life Stadium
5f8bd6196c2c14af1fbea227,2016,Miami Dolphins,Adam Gase,Lou Anarumo
5f8bd61f6c2c14af1fbea228,2017,Miami Dolphins,Adam Gase,Hard Rock Stadium
5f8bd6276c2c14af1fbea229,2018,Miami Dolphins,Adam Gase,Hard Rock Stadium
5f8bd62f6c2c14af1fbea22a,2019,Miami Dolphins,Brian Flores,Hard Rock Stadium
5f8bd6406c2c14af1fbea22b,2015,New York Jets,Todd Bowles,Woody Johnson
5f8bd6486c2c14af1fbea22c,2016,New York Jets,Todd Bowles,Woody Johnson
5f8bd6506c2c14af1fbea22d,2017,New York Jets,Todd Bowles,MetLife Stadium
5f8bd6566c2c14af1fbea22e,2018,New York Jets,Todd Bowles,MetLife Stadium
5f8bd65c6c2c14af1fbea22f,2019,New York Jets,Adam Gase,MetLife Stadium
5f8bd66a6c2c14af1fbea230,2015,Tennessee Titans,Ken Whisenhunt,Nissan Stadium
5f8bd6776c2c14af1fbea231,2016,Tennessee Titans,Mike Mularkey,Nissan Stadium
5f8bd6816c2c14af1fbea232,2017,Tennessee Titans,Mike Mularkey,Sylvester Croom
5f8bd68b6c2c14af1fbea233,2018,Tennessee Titans,Mike Vrabel,Nissan Stadium
5f8bd6966c2c14af1fbea234,2019,Tennessee Titans,Mike Vrabel,Todd Downing
5f8bd6a66c2c14af1fbea235,2015,Indianapolis Colts,Chuck Pagano,Lucas Oil Stadium
5f8bd6af6c2c14af1fbea236,2016,Indianapolis Colts,Chuck Pagano,Lucas Oil Stadium
5f8bd6b76c2c14af1fbea237,2017,Indianapolis Colts,Chuck Pagano,Lucas Oil Stadium
5f8bd6be6c2c14af1fbea238,2018,Indianapolis Colts,Frank Reich,Alan Williams
5f8bd6c66c2c14af1fbea239,2019,Indianapolis Colts,Frank Reich,Lucas Oil Stadium
5f8bd6d36c2c14af1fbea23a,2015,Houston Texans,"Bill O'Brien",Tim Kelly
5f8bd6d96c2c14af1fbea23b,2016,Houston Texans,"Bill O'Brien",Tim Kelly
5f8bd6e16c2c14af1fbea23c,2017,Houston Texans,"Bill O'Brien",Bob McNair
5f8bd6e76c2c14af1fbea23d,2018,Houston Texans,"Bill O'Brien",NRG Stadium
